step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,9864.23,C2142893855,0,0,C1254526270,15207.22,0,0,0
1,PAYMENT,7538,C359806817,249221.81,241683.81,M824900551,0,0,0,0
5,CASH_IN,24248.86,C1359212194,1.03E+07,1.04E+07,C2083562754,2748383.99,2808555.73,0,0
5,CASH_IN,146131.91,C216815884,4376628.71,4522760.62,C1234776885,1090357.03,944225.12,0,0
8,CASH_OUT,13179.56,C921640333,0,0,C1387567249,91559.81,154903.48,0,0
2,PAYMENT,5206.23,C143999341,243,0,M1906335777,0,0,0,0
7,CASH_IN,145366.59,C93512758,3007032.26,3152398.85,C1983025922,557338.94,55701.65,0,0
8,CASH_IN,39844.25,C460382651,7110271.92,7150116.16,C207471579,759569.46,610300.47,0,0
7,PAYMENT,23492.26,C585257927,319936.23,296443.96,M612412611,0,0,0,0
6,CASH_IN,158435.92,C395167539,5758685.08,5917121,C1590550415,1.72E+07,1.78E+07,0,0
7,PAYMENT,14072.21,C281340826,0,0,M1936983523,0,0,0,0
7,CASH_IN,3414.74,C1600154294,2801417.89,2804832.63,C1670989986,120449.02,117034.28,0,0
7,PAYMENT,16565.23,C2093740240,291879,275313.77,M1706817395,0,0,0,0
4,PAYMENT,2929.49,C1461216550,0,0,M958209587,0,0,0,0
6,CASH_OUT,419260.55,C1174724689,0,0,C453211571,5531173.1,5950433.65,0,0
8,CASH_IN,365434.29,C2126941676,1.31E+07,1.35E+07,C1347890180,948072.77,85026.63,0,0
7,PAYMENT,4110.34,C1403327505,35,0,M435565740,0,0,0,0
6,PAYMENT,15314.84,C1297259456,30993,15678.16,M1117642317,0,0,0,0
8,TRANSFER,1230469.89,C979683223,376209.25,0,C1379031360,2212988.83,4200399.97,0,0
1,CASH_OUT,112086.81,C403547747,0,0,C1531333864,292728,55974.56,0,0
7,CASH_IN,107581.14,C525998804,5516668.79,5624249.93,C1654056127,246190,0,0,0
8,PAYMENT,7998.05,C1331136910,51795,43796.95,M897992218,0,0,0,0
8,PAYMENT,11478.14,C1437527987,0,0,M346978794,0,0,0,0
2,PAYMENT,33459.4,C1283634655,721574.53,688115.13,M1743702241,0,0,0,0
8,CASH_OUT,199454.94,C933927817,0,0,C1440325059,750413.62,2156169.36,0,0
8,PAYMENT,11325.87,C1796146873,0,0,M399672840,0,0,0,0
7,PAYMENT,2168.42,C389415616,497283,495114.58,M266267666,0,0,0,0
8,PAYMENT,19538.14,C1749959531,47604.16,28066.02,M662472677,0,0,0,0
8,PAYMENT,6581.5,C837784224,90132,83550.5,M1309300691,0,0,0,0
8,PAYMENT,4452.26,C1140441491,0,0,M1091865345,0,0,0,0
7,TRANSFER,705156.96,C1895900510,0,0,C490150701,1240790.91,1983599.05,0,0
7,CASH_OUT,132361.54,C598978484,0,0,C1750563752,160101.66,112275.31,0,0
8,PAYMENT,12947.14,C1489098988,260330.9,247383.76,M53186846,0,0,0,0
8,PAYMENT,981.62,C512865061,1078,96.38,M119743262,0,0,0,0
8,CASH_OUT,152912.13,C310677160,0,0,C758750856,397643.13,945056.48,0,0
8,PAYMENT,1380.6,C1712525622,21115,19734.4,M462849534,0,0,0,0
1,PAYMENT,8146.24,C1972772630,52330,44183.76,M208437930,0,0,0,0
3,PAYMENT,3024.32,C1461001018,36790,33765.68,M642087302,0,0,0,0
8,CASH_OUT,65479.13,C2084069224,0,0,C1887692104,72798.39,0,0,0
7,PAYMENT,10156,C411382490,0,0,M252744319,0,0,0,0
